,smer,bfia,bfio,bfic,AR,VV,bfin,SI,SG,mcs,cs,smir,bfie
0,3,4,4,4,Reflective,Visual,2,Intuitive,Global,3,3,3,4
1,4,4,4,4,Reflective,Visual,2,Sensory,Global,3,4,3,2
2,3,4,5,4,Active,Visual,4,Sensory,Global,3,3,2,2
3,4,4,3,3,Active,Visual,4,Intuitive,Sequential,3,3,2,2
4,4,3,4,3,Active,Visual,4,Sensory,Global,2,3,3,4
5,3,3,2,2,Reflective,Visual,4,Sensory,Global,3,4,3,2
6,4,3,2,4,Active,Visual,4,Sensory,Sequential,3,3,3,4
7,3,3,4,4,Active,Visual,4,Sensory,Global,3,2,3,4
8,4,4,2,2,Reflective,Verbal,1,Sensory,Global,3,4,4,4
9,3,4,2,3,Active,Visual,4,Sensory,Global,2,2,3,4
