,smer,bfia,bfio,bfic,AR,VV,bfin,SI,SG,mcs,cs,smir,bfie
0,3,4,4,5,Reflective,Visual,2,Intuitive,Global,3,3,3,4
1,3,3,1,5,Active,Visual,3,Sensory,Global,2,4,2,4
2,3,4,3,3,Active,Visual,3,Sensory,Global,2,4,2,3
3,3,4,3,4,Active,Visual,4,Intuitive,Global,3,3,3,4
4,4,2,3,4,Reflective,Visual,4,Sensory,Global,3,3,3,2
5,3,3,4,3,Active,Visual,2,Sensory,Global,3,4,3,4
6,3,4,5,2,Reflective,Verbal,4,Sensory,Global,3,3,2,4
7,3,4,3,2,Reflective,Verbal,4,Sensory,Global,3,4,3,4
8,3,2,4,5,Active,Visual,2,Sensory,Global,3,4,3,4
9,3,2,4,2,Reflective,Visual,2,Sensory,Global,3,4,3,4
